Customer_ID,Full_Name,Gender,Age,State,Customer_Since,Marital_Status,Employment_Status,Monthly_Income,Plan_Type,Internet_Type,Monthly_Data_Usage_GB,Monthly_Call_Minutes,SMS_Usage,Streaming_Hours,Roaming_Usage,Add_On_Subscription,Monthly_Bill,Outstanding_Balance,Payment_Method,Payment_Status,Late_Payment_Count,Discount_Applied,Support_Tickets,Average_Resolution_Time,Complaint_Category,Customer_Satisfaction,NPS_Score,Mobile_App_Login_Last30Days,Website_Visits,Referral_Count,Promotion_Clicked,Email_Open_Rate,Contract_Type,Tenure_Months,Estimated_CLV,Risk_Score,Customer_Segment,Churn
CUST-102843,Aliyu Nwofor,Unknown,43,Kogi,2019-06-04,Divorced,Student,21228.0,Basic,4G,10.3,1479,223,16.9,No,"Gaming, Music, Sports",2502.0,1588.0,Bank Transfer,Overdue,8,No,20,12.5,Slow Internet,7.7,7,0,18,0,No,0.25,Legacy,72.0,16332.0,34,High Value,No
CUST-109907,Emmanuel Lawal,Unknown,47,Kano,2021-03-11,Divorced,Employed,187333.0,Basic,Satellite,54.0,602,393,0.0,No,"Family Pack, Music",2480.0,3079.0,Cash,Overdue,3,Yes,6,22.9,Other,7.8,-32,33,7,0,No,0.665,Annual,51.0,10686.0,24,New,No
CUST-101426,Nneka Oyelaran,Unknown,54,Kaduna,2024-06-03,Divorced,Unknown,119347.5,Standard,5G,55.5,650,151,9.3,Yes,None,6445.0,2957.0,Mobile Money,Pending,4,Yes,11,6.4,Other,7.3,-8,19,31,0,No,0.271,Monthly,12.0,9598.0,21,Sme,No
CUST-108973,Gbenga Adeniyi,Female,31,Bayelsa,2018-12-02,Divorced,Self-Employed,323086.0,Business,4G,111.6,488,0,86.5,No,Yes,16188.0,842.0,Cash,Partial,7,Yes,17,38.5,Other,7.5,21,46,18,0,No,0.65,Annual,78.0,41021.0,5,Budget,Yes
CUST-106525,Love Nwankwo,Male,27,Ekiti,2015-04-22,Divorced,Freelancer,364944.0,Enterprise,No Internet,235.4,380,168,82.1,No,"Cloud, Gaming, Music",5228.0,288.0,Bank Transfer,Late,12,No,1,19.7,Device,7.3,100,5,10,1,Yes,0.64,Two-Year,121.0,1404199.0,21,Corporate,No
CUST-103126,Seyi Odafe,Unknown,24,Gombe,2015-04-10,Single,Freelancer,197149.0,Basic,4G,0.0,958,95,7.9,Yes,Yes,2180.0,1333.0,Cash,Overdue,6,No,25,22.9,Sim,3.0,-16,34,13,2,No,0.76,Monthly,122.0,41021.0,39,At Risk,Yes
CUST-109614,Adaeze Obiora,Unknown,47,Zamfara,2019-09-17,Single,Unknown,86770.0,Enterprise,Dsl,245.0,844,288,118.8,No,"Cloud, Family Pack, Sports",0.0,45.0,Bank Transfer,Failed,10,Yes,11,1.7,Device,7.5,29,26,16,1,No,0.85,Legacy,68.0,0.0,27,Corporate,Yes
CUST-101615,Ade Madueke,Unknown,61,Bayelsa,,Unknown,Freelancer,294536.0,Unlimited,Fiber,202.7,678,0,74.8,No,None,7187.0,162.0,Card,Partial,8,Yes,7,53.7,Network,7.3,18,0,41,0,Yes,0.498,Annual,9.0,10020.0,37,Loyal,No
CUST-108661,John Oluwaseun,Male,31,Gombe,2021-12-16,Married,Contract,119347.5,Standard,5G,54.7,740,255,61.1,No,Yes,4758.0,259717.0,Card,Late,6,No,15,34.4,Network,9.7,-43,13,14,0,No,0.06,Two-Year,41.0,24371.0,28,Corporate,No
CUST-102043,Z. Adeleke,Male,66,Taraba,2021-11-27,Married,Freelancer,359999.0,Standard,4G,35.2,949,246,0.0,No,"Cloud, Music",5288.0,166.0,Bank Transfer,Failed,0,No,24,0.5,Coverage,3.5,41,16,16,2,No,0.48,Monthly,42.0,25459.0,42,Sme,No
CUST-107139,Chdnma Oyelade,Male,33,Abuja,2015-03-15,Single,Freelancer,94835.0,Basic,4G,46.8,377,166,32.0,No,"Music, Sports",2289.0,3757.0,Auto Debit,Failed,12,No,18,0.5,Network,5.7,13,32,11,1,No,0.77,Annual,123.0,23590.0,32,At Risk,Yes
CUST-102967,Nkechi Adesola,Female,73,Kogi,2020-03-05,Single,Freelancer,119347.5,Standard,4G,70.6,837,306,65.2,No,"Family Pack, Gaming, Music",6002.0,3757.0,Bank Transfer,Paid,0,Yes,11,0.5,Network,7.8,11,10,14,0,No,0.84,Annual,63.0,49029.0,14,High Value,No
CUST-102446,Ikenna Babangida,Female,37,Yobe,2021-07-16,Widowed,Freelancer,481608.0,Basic,Dsl,0.0,1558,295,0.0,No,None,2919.0,1407.0,Bank Transfer,Partial,3,Yes,25,49.6,Device,8.3,37,52,32,0,Yes,0.57,Monthly,47.0,41021.0,23,Budget,Yes
CUST-109819,Bilkisu Akinwale,Female,22,Bauchi,2016-05-27,Widowed,Freelancer,119347.5,Business,Satellite,113.4,0,274,144.3,No,Music,13005.0,20169.0,Card,Overdue,7,Yes,1,53.3,Device,6.1,66,0,0,2,No,0.56,Annual,108.0,294138.0,16,Corporate,No
CUST-105341,David Chidebe,Male,47,Abuja,2018-09-09,Single,Intern,28673.0,Unlimited,4G,182.1,1161,0,80.4,No,"Family Pack, Gaming, Sports",9189.0,7055.0,Ussd,Late,7,Yes,7,43.5,Sim,6.0,51,33,13,0,Yes,0.14,Monthly,81.0,41021.0,28,High Value,No
CUST-102718,Dipo Olaleye,Unknown,64,Ogun,2017-01-01,Married,Unknown,235679.0,Standard,No Internet,83.3,711,8,33.0,No,"Family Pack, Sports",5323.0,3757.0,Ussd,Failed,13,Yes,20,12.5,Billing,6.2,38,22,18,0,Yes,0.49,Annual,101.0,66084.0,13,Sme,No
CUST-108614,Chi Oluwaseun,Male,47,Cross River,2019-06-10,Married,Intern,77250.0,Basic,No Internet,60.9,1157,134,14.7,No,"Gaming, Sports",1776.0,6815.0,Card,Late,5,Yes,12,9.0,Other,7.8,-10,23,29,2,No,0.61,Two-Year,72.0,10341.0,20,Corporate,No
CUST-100119,Deborah Oladipo,Female,37,Kogi,2021-11-14,Single,Self-Employed,127595.0,Standard,No Internet,39.5,820,134,41.4,No,Sports,5780.0,8410.0,Auto Debit,Pending,3,Yes,7,28.4,Slow Internet,8.1,54,12,1,0,No,0.8390000000000001,Monthly,43.0,41021.0,11,New,No
CUST-101956,Chinedu Okoro,Male,40,Oyo,2023-01-29,Divorced,Unknown,75527.0,Legacy,No Internet,85.4,919,237,35.3,No,None,3071.0,2329.0,Auto Debit,Pending,8,No,7,34.8,Coverage,9.7,64,23,22,0,No,0.435,Monthly,28.0,8611.0,39,New,No
CUST-108717,Philip Adeleke,Male,34,Adamawa,2022-11-05,Widowed,Unemployed,6563.0,Premium,4G,185.0,1260,0,62.0,No,"Cloud, Family Pack, Music",11184.0,4601.0,Ussd,Failed,3,Yes,18,29.3,Coverage,10.0,-6,16,14,0,No,0.78,Monthly,31.0,70334.0,10,Premium,No
CUST-105959,Chi Akinyemi,Unknown,46,Ekiti,2018-07-13,Married,Retired,52058.0,Premium,No Internet,237.6,1670,117,89.2,No,"Family Pack, Gaming, Sports",0.0,3133.0,Bank Transfer,Pending,0,No,0,0.0,Network,4.9,50,12,15,0,Yes,0.214,Monthly,83.0,41021.0,2,Corporate,Yes
CUST-100215,Olu Akintoye,Male,51,Gombe,2020-06-25,Single,Unknown,224735.0,Unlimited,No Internet,158.2,434,136,39.7,No,"Family Pack, Music, Sports",7460.0,10058.0,Bank Transfer,Overdue,6,Yes,9,36.6,Other,6.3,-34,15,18,1,Yes,0.1,Monthly,59.0,65285.0,35,Student,No
CUST-104006,Ada Akinwale,Male,22,Ondo,2023-11-20,Married,Freelancer,119347.5,Premium,Dsl,120.3,862,221,34.4,No,"Gaming, Sports",7473.0,4658.0,Mobile Money,Overdue,15,Yes,2,22.9,Billing,7.5,66,54,48,1,Yes,0.73,Monthly,18.0,24918.0,27,Corporate,Yes
CUST-104828,Sola Ogundimu,Unknown,20,Ebonyi,2020-06-28,Divorced,Intern,48893.0,Standard,No Internet,96.6,0,398,7.4,No,"Cloud, Gaming, Sports",5782.0,6515.0,Card,Overdue,9,Yes,4,28.7,Other,4.9,29,35,21,0,No,0.88,Monthly,59.0,45982.0,14,Student,No
CUST-100638,P. Okafor,Female,72,Katsina,2020-08-09,Divorced,Self-Employed,498945.0,Standard,Satellite,96.6,923,331,42.5,No,Yes,3581.0,1144.0,Card,Pending,8,Yes,16,0.5,Sim,6.8,65,40,17,1,No,0.64,Annual,58.0,28940.0,38,Loyal,No
CUST-107561,Onyekachi Lawal,Male,29,Imo,2021-10-08,Married,Student,27996.0,Premium,Fiber,149.3,749,150,102.0,No,"Cloud, Family Pack, Sports",7237.0,3739.0,Auto Debit,Pending,12,No,8,0.5,Coverage,9.1,6,18,21,1,No,0.28,Annual,44.0,68376.0,25,Premium,No
CUST-109691,Esther Nwofor,Female,50,Zamfara,2016-11-05,Widowed,Unknown,33595.0,Business,5G,210.7,0,156,66.1,No,Sports,15121.0,824.0,Auto Debit,Failed,4,Yes,13,13.7,Device,8.2,-3,47,35,1,No,0.401,Monthly,103.0,457256.0,25,Sme,No
CUST-100752,Safiya Nwachuku,Male,36,Enugu,2015-01-11,Single,Student,41487.0,Business,Fiber,178.2,909,24,102.7,No,None,14035.0,9472.0,Cash,Partial,4,Yes,18,0.5,Network,6.3,-13,14,34,2,No,0.64,Annual,125.0,396343.0,27,Sme,No
CUST-107602,James Uchechukwu,Female,49,Abuja,2021-02-24,Single,Unknown,119347.5,Standard,5G,3.2,0,453,76.1,Yes,None,5265.0,6811.0,Auto Debit,Failed,11,Yes,3,15.1,Sim,6.7,-5,36,9,0,No,0.55,Two-Year,51.0,33748.0,21,Sme,No
CUST-108469,Chi Onyeka,Male,62,Kano,2024-07-29,Divorced,Self-Employed,311999.0,Unlimited,Fiber,176.2,834,243,51.3,No,"Cloud, Gaming, Sports",8937.0,2877.0,Card,Overdue,7,Yes,11,68.2,Sim,5.8,78,30,15,0,No,0.514,Monthly,10.0,21938.0,31,Sme,No
CUST-109783,Bola Olubunmi,Unknown,72,Borno,2024-05-17,Single,Retired,119347.5,Premium,No Internet,189.9,1020,153,92.6,No,Yes,10922.0,3757.0,Bank Transfer,Partial,12,No,8,3.5,Other,7.0,47,29,12,1,No,0.87,Monthly,12.0,23562.0,32,Loyal,No
CUST-109354,Ife Ogundimu,Female,23,Adamawa,2017-08-03,Single,Retired,53220.0,Standard,Dsl,105.3,181,218,48.6,No,Family Pack,4714.0,1686.0,Card,Paid,9,Yes,14,0.5,Network,7.5,9,0,14,0,No,0.85,Two-Year,94.0,63426.0,26,Budget,Yes
CUST-108317,Ruth Fagbohun,Unknown,52,Ondo,2016-07-05,Married,Retired,119347.5,Unlimited,Fiber,213.0,346,416,59.0,No,None,7430.0,5663.0,Auto Debit,Failed,4,Yes,15,26.4,Customer Service,7.0,46,10,0,0,No,0.73,Legacy,107.0,138285.0,1,High Value,No
CUST-109682,Blessing Ozoemena,Unknown,50,Kaduna,2020-11-24,Married,Student,45640.0,Business,4G,168.7,653,309,75.2,No,None,14359.0,4353.0,Ussd,Paid,1,No,7,39.8,Coverage,9.3,23,33,11,0,No,0.261,Annual,54.0,196806.0,0,Corporate,No
CUST-100844,Uloma Odafe,Unknown,59,Delta,2019-07-28,Divorced,Freelancer,119347.5,Legacy,Satellite,39.9,242,381,0.0,No,Yes,2470.0,1126.0,Card,Late,2,Yes,4,0.5,Network,6.1,-22,42,20,0,Yes,0.498,Legacy,70.0,17058.0,27,Family,No
CUST-108243,Aminu Adesanya,Male,34,Kano,,Single,Freelancer,125874.0,Basic,4G,63.8,256,149,0.2,No,None,2081.0,2605.0,Ussd,Late,4,Yes,12,6.8,Network,8.5,-23,4,15,2,Yes,0.53,Annual,57.0,9213.0,15,High Value,No
CUST-105123,Ego Nwankwo,Male,74,Sokoto,2020-08-19,Married,Employed,114006.0,Standard,No Internet,76.5,1040,182,21.5,No,Cloud,4784.0,1365.0,Mobile Money,Partial,3,Yes,14,0.5,Customer Service,8.0,31,5,36,1,No,0.08,Monthly,57.0,32487.0,3,Corporate,No
CUST-108196,Deborah Adeyemi,Unknown,34,Anambra,2018-03-29,Married,Unknown,119347.5,Standard,Fiber,108.0,658,365,106.3,No,Sports,5228.0,5771.0,Ussd,Overdue,14,No,21,32.4,Other,7.0,0,39,16,0,No,0.43,Annual,86.0,70294.0,34,New,No
CUST-108518,Ego Uchenna,Unknown,35,Kebbi,2016-11-26,Divorced,Unemployed,119347.5,Basic,Satellite,0.0,714,217,81.2,No,Gaming,2638.0,3757.0,Card,Pending,4,Yes,11,9.4,Coverage,8.5,42,19,22,0,Yes,0.511,Two-Year,102.0,41021.0,0,Student,No
CUST-103263,Dipo Adgoke,Female,47,Abuja,2016-05-30,Married,Contract,238036.0,Business,Dsl,121.6,877,34,155.1,No,Cloud,12240.0,11011.0,Cash,Overdue,14,No,19,26.4,Customer Service,3.7,-25,0,15,1,No,0.81,Monthly,108.0,330934.0,30,Corporate,No
CUST-109403,Love Madueke,Male,74,Bayelsa,2024-03-16,Single,Unknown,75156.0,Standard,Dsl,8.8,891,355,88.3,No,Cloud,0.0,17.0,Mobile Money,Pending,9,No,4,0.5,Network,8.1,-38,11,2,1,No,0.52,Annual,15.0,0.0,17,Student,No
CUST-104352,Lola Olaleye,Female,43,Kebbi,2020-08-19,Married,Employed,122765.0,Enterprise,5G,285.6,675,283,140.4,No,Yes,24366.0,11288.0,Ussd,Pending,2,No,9,25.0,Slow Internet,5.2,31,14,22,0,No,0.93,Monthly,57.0,623182.0,10,Premium,No
CUST-102351,Miriam Danjuma,Unknown,61,Sokoto,2021-04-08,Divorced,Unemployed,10578.0,Unlimited,Fiber,214.9,415,211,23.0,No,None,8469.0,16865.0,Ussd,Partial,3,No,10,33.9,Customer Service,6.7,9,17,12,0,No,0.05,Monthly,50.0,80503.0,24,Sme,No
CUST-109488,Aliyu Odeh,Female,63,Lagos,2018-12-14,Single,Intern,45757.0,Basic,5G,76.3,356,245,34.1,No,Cloud,3171.0,2586.0,Auto Debit,Paid,3,No,4,32.3,Network,6.3,13,17,4,0,No,0.51,Monthly,78.0,20801.0,15,Sme,No
CUST-104944,Ahmad Danjuma,Unknown,42,Adamawa,,Divorced,Employed,237438.0,Premium,Satellite,177.2,139,267,58.2,No,Yes,8956.0,18669.0,Card,Failed,8,No,25,52.7,Other,3.5,11,16,28,0,No,0.312,Monthly,68.0,114630.0,38,Loyal,No
CUST-108230,Fatima Nwagbara,Female,73,Bauchi,,Single,Retired,147844.0,Basic,No Internet,0.0,341,67,40.7,No,Yes,5228.0,338.0,Ussd,Pending,11,Yes,11,38.7,Sim,8.0,94,6,0,0,No,0.94,Two-Year,75.0,19257.0,20,At Risk,No
CUST-107214,S. Agwu,Female,43,Abuja,2022-11-02,Single,Retired,119347.5,Premium,4G,159.8,475,0,96.5,No,None,6766.0,3163.0,Mobile Money,Overdue,3,No,9,25.5,Billing,6.8,40,13,7,0,No,0.88,Legacy,31.0,41021.0,23,Premium,No
CUST-100232,Suleiman Adeniyi,Male,55,Kwara,2018-07-18,Single,Student,31200.0,Standard,4G,135.6,1013,367,39.4,No,None,5909.0,4004.0,Cash,Paid,7,Yes,4,0.7,Device,7.0,0,18,16,3,No,0.39899999999999997,Monthly,82.0,65556.0,22,Premium,No
CUST-102570,Ibrahim Okafor,Female,71,Zamfara,2015-05-25,Married,Intern,119347.5,Enterprise,5G,226.4,808,241,118.4,No,"Cloud, Gaming, Music",26587.0,1832.0,Ussd,Failed,2,Yes,8,24.9,Device,8.4,75,9,0,0,Yes,0.77,Annual,120.0,1270910.0,1,Corporate,No
CUST-108259,Lola Ozoemena,Female,46,Jigawa,,Married,Intern,50561.0,Legacy,4G,25.8,917,160,0.0,No,None,2680.0,90469.0,Cash,Pending,3,Yes,2,58.3,Unknown,3.9,-26,27,14,0,No,0.23,Annual,49.0,14185.0,16,At Risk,Yes
CUST-103254,Zainab Ogundimu,Male,37,Bayelsa,2017-12-12,Married,Unemployed,18210.0,Business,No Internet,195.1,688,0,69.5,Yes,None,12780.0,15745.0,Card,Late,5,Yes,23,59.7,Device,5.7,93,6,0,0,No,0.1,Annual,90.0,266020.0,22,Sme,No
CUST-106963,Bukola Akinwale,Unknown,40,Kebbi,2022-09-18,Married,Student,67925.0,Basic,4G,69.0,624,0,14.8,No,None,2846.0,16390.0,Bank Transfer,Failed,13,No,11,37.5,Customer Service,7.9,100,0,2,1,No,0.51,Monthly,32.0,7826.0,46,At Risk,No
CUST-104223,Ifeanyi Salami,Female,25,Niger,2021-04-30,Divorced,Intern,76182.0,Standard,4G,50.1,1285,109,34.9,No,"Family Pack, Gaming, Sports",5119.0,869.0,Ussd,Late,9,No,10,22.6,Slow Internet,7.4,32,19,16,0,No,0.59,Monthly,49.0,30684.0,47,Sme,No
CUST-109335,Nkechi Salami,Male,30,Anambra,2022-11-21,Widowed,Intern,48042.0,Unlimited,Fiber,126.1,834,154,49.4,No,Yes,7919.0,7083.0,Ussd,Failed,1,Yes,23,43.7,Unknown,5.9,56,3,1,0,Yes,0.84,Monthly,30.0,41021.0,36,Sme,No
CUST-101342,Chidinma Okoro,Female,47,Kwara,2017-04-13,Divorced,Unemployed,825.0,Standard,Dsl,132.2,275,139,64.0,No,Sports,5668.0,3612.0,Mobile Money,Pending,1,Yes,19,0.5,Billing,5.6,-2,8,12,0,No,0.47,Two-Year,98.0,65583.0,9,Premium,No
CUST-107742,Suleiman Ajiboye,Unknown,66,Ekiti,2024-03-30,Divorced,Retired,138879.0,Standard,4G,90.4,1049,91,0.0,No,Yes,5463.0,3913.0,Cash,Pending,3,Yes,4,41.9,Network,7.4,38,22,11,0,Yes,0.37,Monthly,14.0,41021.0,19,At Risk,Yes
CUST-104946,Folake Oluwole,Female,75,Cross River,2019-10-04,Married,Employed,148740.0,Basic,5G,23.9,1420,234,0.0,No,None,5228.0,248.0,Ussd,Pending,14,Yes,4,0.5,Network,10.0,-12,35,31,0,No,0.1,Legacy,68.0,15441.0,28,At Risk,No
CUST-101354,Ike Adeniyi,Female,71,Abia,2019-09-14,Single,Retired,79442.0,Basic,Fiber,111.7,668,463,42.1,No,None,2372.0,1119.0,Auto Debit,Late,7,Yes,3,42.1,Billing,4.0,18,26,11,1,No,0.2,Monthly,69.0,41021.0,43,Loyal,No
CUST-104800,Seyi Ajiboye,Unknown,20,Osun,2018-01-09,Single,Freelancer,219249.0,Standard,Fiber,118.5,595,143,63.1,No,"Cloud, Music",5228.0,6216.0,Cash,Pending,11,No,21,39.0,Device,5.3,55,21,9,1,No,0.59,Monthly,89.0,68109.0,24,Sme,No
CUST-103477,Yusuf Akintunde,Male,47,Delta,2023-10-29,Married,Intern,23710.0,Enterprise,Dsl,260.8,0,278,111.7,No,Cloud,25173.0,19042.0,Card,Failed,4,Yes,9,43.4,Network,8.2,58,19,29,0,Yes,0.22,Monthly,19.0,161010.0,18,Loyal,No
CUST-106050,Chiamaka Nwafor,Male,75,Kaduna,2024-08-22,Married,Contract,387140.0,Premium,No Internet,96.6,958,233,15.5,No,"Cloud, Gaming",13892.0,1056.0,Card,Late,3,Yes,24,59.2,Billing,5.6,0,45,21,0,No,0.225,Monthly,9.0,28269.0,26,Loyal,Yes
CUST-106920,Kemi Oduola,Female,56,Kaduna,2020-09-05,Single,Freelancer,119347.5,Unlimited,Dsl,199.2,1614,330,79.2,No,None,8349.0,3757.0,Bank Transfer,Overdue,1,No,6,29.4,Billing,6.7,19,36,12,0,Yes,0.66,Monthly,57.0,81657.0,37,At Risk,Yes
CUST-100380,Love Adewale,Unknown,47,Yobe,2017-03-01,Married,Student,52113.0,Basic,Satellite,85.3,709,289,45.3,No,None,3451.0,8053.0,Bank Transfer,Failed,2,Yes,15,14.4,Sim,7.5,78,36,16,1,No,0.21,Monthly,99.0,31437.0,25,Student,No
